"","left","top","right","bottom","id","Hg","cellIdNew","cover","climate"
"131",3343999.99979807,1825999.99992613,3345999.99979807,1823999.99992613,807445,27,131,-1.66290626334776,0.49201110815561
"132",3343999.99979807,1823999.99992613,3345999.99979807,1821999.99992613,807446,27,132,-0.298351924837353,0.445831237340079
"133",3339999.99979807,1845999.99992613,3341999.99979807,1843999.99992613,802923,28,133,2.08949561523413,-0.732091300576191
"134",3339999.99979807,1843999.99992613,3341999.99979807,1841999.99992613,802924,28,134,1.19641043335675,-0.469530872621924
"135",3341999.99979807,1845999.99992613,3343999.99979807,1843999.99992613,805179,28,135,2.07741989058326,-0.828784559706763
"136",3329999.99979807,1831999.99992613,3331999.99979807,1829999.99992613,791650,29,136,-1.60541094071606,0.296381837964792
"137",3339999.99979807,1827999.99992613,3341999.99979807,1825999.99992613,802932,29,137,-1.12199832070842,0.378735721041729
"138",3351999.99979807,1807999.99992613,3353999.99979807,1805999.99992613,816478,30,138,-1.25171910909804,0.487919004549657
"139",3313999.99979807,1809999.99992613,3315999.99979807,1807999.99992613,773613,31,139,0.746355003842261,0.767266978249482
"140",3315999.99979807,1815999.99992613,3317999.99979807,1813999.99992613,775866,31,140,0.842215371573292,0.509158797442923
"141",3315999.99979807,1807999.99992613,3317999.99979807,1805999.99992613,775870,31,141,-1.1161980864108,0.742252271793248
"142",3317999.99979807,1807999.99992613,3319999.99979807,1805999.99992613,778126,31,142,-1.0660943726172,0.756160564827111
"143",3327999.99979807,1815999.99992613,3329999.99979807,1813999.99992613,789402,31,143,-0.091768093192088,0.514579730854314
"144",3339999.99979807,1817999.99992613,3341999.99979807,1815999.99992613,802937,32,144,-1.07690999620765,0.442478793549877
"145",3253999.99979807,1801999.99992613,3255999.99979807,1799999.99992613,705937,33,145,2.08949561523413,0.239008358244168
"146",3255999.99979807,1803999.99992613,3257999.99979807,1801999.99992613,708192,33,146,1.89615406630836,0.455320675662495
"147",3255999.99979807,1801999.99992613,3257999.99979807,1799999.99992613,708193,33,147,1.89628402082034,0.161763121060005
"148",3259999.99979807,1803999.99992613,3261999.99979807,1801999.99992613,712704,33,148,0.729121303254847,0.760652508858091
"149",3261999.99979807,1807999.99992613,3263999.99979807,1805999.99992613,714958,33,149,1.87213257151862,0.282936284706974
"150",3263999.99979807,1811999.99992613,3265999.99979807,1809999.99992613,717212,33,150,1.44737575797366,-0.113575615054753
"151",3265999.99979807,1809999.99992613,3267999.99979807,1807999.99992613,719469,33,151,-0.539678675791811,-0.009457532299722
"152",3233999.99979807,1807999.99992613,3235999.99979807,1805999.99992613,683374,34,152,1.50663450767515,-2.43522668002847
"153",3233999.99979807,1805999.99992613,3235999.99979807,1803999.99992613,683375,34,153,1.92446071167235,-2.03528598263846
"154",3249999.99979807,1811999.99992613,3251999.99979807,1809999.99992613,701420,34,154,0.476072016272862,0.46728684498757
"155",3249999.99979807,1791999.99992613,3251999.99979807,1789999.99992613,701430,35,155,0.839633757743032,1.2151758400355
"156",3251999.99979807,1797999.99992613,3253999.99979807,1795999.99992613,703683,35,156,-0.559478182166417,0.487546075965752
"157",3251999.99979807,1791999.99992613,3253999.99979807,1789999.99992613,703686,35,157,1.01958846743541,1.12592845203173
"158",3251999.99979807,1789999.99992613,3253999.99979807,1787999.99992613,703687,35,158,1.07607180365141,1.35948950471131
"159",3253999.99979807,1791999.99992613,3255999.99979807,1789999.99992613,705942,35,159,-0.29081213209827,1.19458375237995
"160",3255999.99979807,1793999.99992613,3257999.99979807,1791999.99992613,708197,35,160,0.726562207036603,0.711695518252335
"161",3255999.99979807,1791999.99992613,3257999.99979807,1789999.99992613,708198,35,161,0.470281498417028,0.971773525926592
"162",3259999.99979807,1799999.99992613,3261999.99979807,1797999.99992613,712706,35,162,1.68113374636532,0.439967404344372
"163",3259999.99979807,1791999.99992613,3261999.99979807,1789999.99992613,712710,35,163,0.230293374023826,1.06003598964146
"164",3259999.99979807,1787999.99992613,3261999.99979807,1785999.99992613,712712,35,164,1.72319863415799,1.41970989173733
"165",3265999.99979807,1791999.99992613,3267999.99979807,1789999.99992613,719478,35,165,0.405294570595479,0.939856179358257
"166",3265999.99979807,1789999.99992613,3267999.99979807,1787999.99992613,719479,35,166,0.537643591170274,1.04009724341021
"167",3269999.99979807,1789999.99992613,3271999.99979807,1787999.99992613,723991,35,167,1.06637291906008,1.04941398912187
"168",3267999.99979807,1783999.99992613,3269999.99979807,1781999.99992613,721738,36,168,1.66576114268464,1.1993700286055
"169",3269999.99979807,1779999.99992613,3271999.99979807,1777999.99992613,723996,36,169,-1.27296610521393,1.09228313200365
"170",3279999.99979807,1783999.99992613,3281999.99979807,1781999.99992613,735274,36,170,0.402808575661757,1.1582212216247
"171",3279999.99979807,1781999.99992613,3281999.99979807,1779999.99992613,735275,36,171,0.349075020118891,1.26157428292482
"172",3281999.99979807,1781999.99992613,3283999.99979807,1779999.99992613,737531,36,172,0.844834333729733,1.22557118138727
"173",3249999.99979807,1767999.99992613,3251999.99979807,1765999.99992613,701442,37,173,1.31769000970279,-0.59453522239398
"174",3251999.99979807,1783999.99992613,3253999.99979807,1781999.99992613,703690,37,174,1.9405616778735,1.32010961684533
"175",3251999.99979807,1781999.99992613,3253999.99979807,1779999.99992613,703691,37,175,0.656564337627987,1.3593016980102
"176",3251999.99979807,1779999.99992613,3253999.99979807,1777999.99992613,703692,37,176,0.644184079485019,1.22465338049142
"177",3253999.99979807,1781999.99992613,3255999.99979807,1779999.99992613,705947,37,177,0.992851557553274,1.22493605847268
"178",3259999.99979807,1785999.99992613,3261999.99979807,1783999.99992613,712713,37,178,1.98081409337637,1.32755150634816
"179",3259999.99979807,1783999.99992613,3261999.99979807,1781999.99992613,712714,37,179,0.673254882624177,1.4058366846089
"180",3261999.99979807,1781999.99992613,3263999.99979807,1779999.99992613,714971,37,180,1.8157791898146,1.0189751545637
"181",3263999.99979807,1781999.99992613,3265999.99979807,1779999.99992613,717227,37,181,1.66495272077003,1.02072827411839
"182",3263999.99979807,1779999.99992613,3265999.99979807,1777999.99992613,717228,37,182,2.0653441659324,0.801025725195332
"183",3265999.99979807,1781999.99992613,3267999.99979807,1779999.99992613,719483,37,183,0.865822183946812,1.07951042164289
"184",3239999.99979807,1799999.99992613,3241999.99979807,1797999.99992613,690146,38,184,1.91641022857178,-0.040442651219534
